Synset('a.n.06')	A
Synset('aalii.n.01')	aalii
Synset('aardvark.n.01')	aardvark
Synset('aardwolf.n.01')	aardwolf
Synset('ab.n.02')	Ab
Synset('abalone.n.01')	abalone
Synset('abampere.n.01')	abampere
Synset('abbess.n.01')	abbess
Synset('abdomen.n.01')	abdomen
Synset('abdominal_cavity.n.01')	abdominal_cavity
Synset('abdominal.n.01')	abdominal
Synset('abelia.n.01')	abelia
Synset('abelmosk.n.01')	abelmosk
Synset('abfarad.n.01')	abfarad
Synset('abhenry.n.01')	abhenry
Synset('abies.n.01')	Abies
Synset('abkhaz.n.01')	Abkhaz
Synset('abohm.n.01')	abohm
Synset('abramis.n.01')	Abramis
Synset('abrocoma.n.01')	Abrocoma
Synset('abrocome.n.01')	abrocome
Synset('abronia.n.01')	Abronia
Synset('abscess.n.01')	abscess
Synset('absinth.n.01')	absinth
Synset('absolution.n.02')	absolution
Synset('absorption.n.02')	absorption
Synset('abudefduf.n.01')	Abudefduf
Synset('abvolt.n.01')	abvolt
Synset('abwatt.n.01')	abwatt
Synset('acacia.n.01')	acacia
Synset('academia.n.01')	academia
Synset('academician.n.01')	academician
Synset('academy.n.02')	academy
Synset('acalypha.n.01')	Acalypha
Synset('acanthus.n.01')	acanthus
Synset('acardia.n.01')	acardia
Synset('acarid.n.01')	acarid
Synset('acaridae.n.01')	Acaridae
Synset('acarine.n.01')	acarine
Synset('acarus.n.01')	acarus
Synset('accelerator.n.01')	accelerator
Synset('accelerator.n.02')	accelerator
Synset('accelerator.n.04')	accelerator
Synset('accentor.n.01')	accentor
Synset('accordion.n.01')	accordion
Synset('accounting.n.04')	accounting
Synset('acephalia.n.01')	acephalia
Synset('acer.n.01')	Acer
Synset('acerola.n.02')	acerola
Synset('acetate_rayon.n.01')	acetate_rayon
Synset('acetylene.n.01')	acetylene
Synset('acheta.n.01')	Acheta
Synset('achillea.n.01')	achillea
Synset('achimenes.n.01')	achimenes
Synset('acidophilus.n.01')	acidophilus
Synset('acinonyx.n.01')	Acinonyx
Synset('acinos.n.01')	Acinos
Synset('acinus.n.02')	acinus
Synset('ackee.n.01')	ackee
Synset('acne.n.01')	acne
Synset('aconite.n.01')	aconite
Synset('acorn_squash.n.02')	acorn_squash
Synset('acorn.n.01')	acorn
Synset('acorus.n.01')	Acorus
Synset('acrididae.n.01')	Acrididae
Synset('acris.n.01')	Acris
Synset('acrobates.n.01')	Acrobates
Synset('acrobatics.n.01')	acrobatics
Synset('acrocomia.n.01')	Acrocomia
Synset('act.n.03')	act
Synset('actaea.n.01')	Actaea
Synset('actias.n.01')	Actias
Synset('actin.n.01')	actin
Synset('acting.n.01')	acting
Synset('actinia.n.01')	Actinia
Synset('actinia.n.02')	actinia
Synset('actiniaria.n.01')	Actiniaria
Synset('actinium.n.01')	actinium
Synset('action.n.07')	action
Synset('actitis.n.01')	Actitis
Synset('adagio.n.02')	adagio
Synset('adalia.n.02')	Adalia
Synset('adar.n.01')	Adar
Synset('addax.n.01')	addax
Synset('addendum.n.01')	addendum
Synset('adder.n.03')	adder
Synset('adding_machine.n.01')	adding_machine
Synset('adelges.n.01')	Adelges
Synset('adelgidae.n.01')	Adelgidae
Synset('adelie.n.01')	Adelie
Synset('adenine.n.01')	adenine
Synset('adenium.n.01')	Adenium
Synset('adenota.n.01')	Adenota
Synset('adit.n.01')	adit
Synset('adjective.n.01')	adjective
Synset('adjective.n.02')	adjective
Synset('adjutant_bird.n.01')	adjutant_bird
Synset('adobe.n.01')	adobe
Synset('adobe.n.02')	adobe
Synset('adolescence.n.01')	adolescence
Synset('adonis.n.02')	Adonis
Synset('adult_female_body.n.01')	adult_female_body
Synset('adulthood.n.01')	adulthood
Synset('advanced_research_and_development_activity.n.01')	Advanced_Research_and_Development_Activity
Synset('advantage.n.02')	advantage
Synset('advent.n.02')	Advent
Synset('adverb.n.01')	adverb
Synset('adverb.n.02')	adverb
Synset('advertiser.n.01')	advertiser
Synset('aecium.n.01')	aecium
Synset('aedes.n.01')	Aedes
Synset('aegiceras.n.01')	Aegiceras
Synset('aegypius.n.01')	Aegypius
Synset('aeonium.n.01')	Aeonium
Synset('aepyceros.n.01')	Aepyceros
Synset('aerides.n.01')	aerides
Synset('aethusa.n.01')	Aethusa
Synset('aetobatus.n.01')	Aetobatus
Synset('affix.n.01')	affix
Synset('afghan.n.02')	Afghan
Synset('afghani.n.01')	afghani
Synset('aframomum.n.01')	Aframomum
Synset('african_daisy.n.01')	African_daisy
Synset('african_daisy.n.02')	African_daisy
Synset('african_daisy.n.03')	African_daisy
Synset('african_hemp.n.02')	African_hemp
Synset('afternoon.n.01')	afternoon
Synset('agama.n.01')	agama
Synset('agamid.n.01')	agamid
Synset('agamidae.n.01')	Agamidae
Synset('agapornis.n.01')	Agapornis
Synset('agar.n.01')	agar
Synset('agar.n.02')	agar
Synset('agaric.n.01')	agaric
Synset('agaric.n.02')	agaric
Synset('agathis.n.01')	Agathis
Synset('agavaceae.n.01')	Agavaceae
Synset('agave.n.01')	agave
Synset('agdestis.n.01')	Agdestis
Synset('age.n.03')	age
Synset('agenda.n.02')	agenda
Synset('ageratina.n.01')	Ageratina
Synset('ageratum.n.02')	ageratum
Synset('aggregate.n.03')	aggregate
Synset('aggression.n.04')	aggression
Synset('aghan.n.01')	Aghan
